speaker_id,utterance_count,valid_readable_wav_count,invalid_wav_count,zero_frame_count,duration_seconds,provenance_classes,exact_duplicate_file_count,candidate_source_group_count,positive_pair_support_status
318,254,254,0,0,762.0,train,0,254,at_least_two_nonzero_readable
319,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
320,79,79,0,0,237.0,train,0,79,at_least_two_nonzero_readable
321,71,71,0,0,213.0,train,0,71,at_least_two_nonzero_readable
322,15,15,0,0,45.0,train,0,15,at_least_two_nonzero_readable
323,373,373,0,0,1119.0,train,0,373,at_least_two_nonzero_readable
324,164,164,0,0,492.0,train,0,164,at_least_two_nonzero_readable
325,234,234,0,0,702.0,train,0,234,at_least_two_nonzero_readable
326,135,135,0,0,405.0,train,0,135,at_least_two_nonzero_readable
327,43,43,0,0,129.0,train,0,43,at_least_two_nonzero_readable
328,14,14,0,0,42.0,train,0,14,at_least_two_nonzero_readable
329,94,94,0,0,282.0,train,0,94,at_least_two_nonzero_readable
330,97,97,0,0,291.0,train,0,97,at_least_two_nonzero_readable
331,57,57,0,0,171.0,train,0,57,at_least_two_nonzero_readable
332,96,96,0,0,288.0,train,0,96,at_least_two_nonzero_readable
333,107,107,0,0,321.0,train,0,107,at_least_two_nonzero_readable
334,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
335,154,154,0,0,462.0,train,0,154,at_least_two_nonzero_readable
336,332,332,0,0,996.0,train,0,332,at_least_two_nonzero_readable
337,141,141,0,0,423.0,train,0,141,at_least_two_nonzero_readable
338,8,8,0,0,24.0,train,0,8,at_least_two_nonzero_readable
339,29,29,0,0,87.0,train,0,29,at_least_two_nonzero_readable
340,56,56,0,0,168.0,train,0,56,at_least_two_nonzero_readable
341,138,138,0,0,414.0,train,0,138,at_least_two_nonzero_readable
342,28,28,0,0,84.0,train,0,28,at_least_two_nonzero_readable
343,129,129,0,0,387.0,train,0,129,at_least_two_nonzero_readable
344,107,107,0,0,321.0,train,0,107,at_least_two_nonzero_readable
345,265,265,0,0,795.0,train,0,265,at_least_two_nonzero_readable
346,266,266,0,0,798.0,train,0,266,at_least_two_nonzero_readable
347,7,7,0,0,21.0,train,0,7,at_least_two_nonzero_readable
348,238,238,0,0,714.0,train,0,238,at_least_two_nonzero_readable
349,504,504,0,0,1512.0,train,0,504,at_least_two_nonzero_readable
350,444,444,0,0,1332.0,train,0,444,at_least_two_nonzero_readable
351,164,164,0,0,492.0,train,0,164,at_least_two_nonzero_readable
352,15,15,0,0,45.0,train,0,15,at_least_two_nonzero_readable
353,16,16,0,0,48.0,train,0,16,at_least_two_nonzero_readable
354,61,61,0,0,183.0,train,0,61,at_least_two_nonzero_readable
355,37,37,0,0,111.0,train,0,37,at_least_two_nonzero_readable
356,233,233,0,0,699.0,train,0,233,at_least_two_nonzero_readable
357,33,33,0,0,99.0,train,0,33,at_least_two_nonzero_readable
358,22,22,0,0,66.0,train,0,22,at_least_two_nonzero_readable
359,53,53,0,0,159.0,train,0,53,at_least_two_nonzero_readable
360,9,9,0,0,27.0,train,0,9,at_least_two_nonzero_readable
