candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,238,32,16,0.0625,4,0
hybrid_w8,239,32,16,0.0625,5,0
hybrid_w8,240,32,16,0.0625,5,0
hybrid_w8,241,32,16,0.0625,6,0
hybrid_w8,242,32,16,0.0625,7,0
hybrid_w8,243,32,16,0.0625,3,0
hybrid_w8,244,32,16,0.0625,9,0
hybrid_w8,245,32,16,0.0625,8,0
hybrid_w8,246,32,16,0.0625,7,0
hybrid_w8,247,32,16,0.0625,8,0
hybrid_w8,248,32,16,0.0625,7,0
hybrid_w8,249,32,16,0.0625,8,0
hybrid_w8,250,32,16,0.0625,8,0
hybrid_w8,251,32,16,0.0625,5,0
hybrid_w8,252,32,16,0.0625,6,0
hybrid_w8,253,32,16,0.0625,7,0
hybrid_w8,254,32,16,0.0625,7,0
hybrid_w8,255,32,16,0.0625,6,0
hybrid_w8,256,32,16,0.0625,4,0
hybrid_w8,257,32,16,0.0625,8,0
hybrid_w8,258,32,16,0.0625,7,0
hybrid_w8,259,32,16,0.0625,6,0
hybrid_w8,260,32,16,0.0625,7,0
hybrid_w8,261,32,16,0.0625,9,0
hybrid_w8,262,32,16,0.0625,8,0
hybrid_w8,263,32,16,0.0625,7,0
hybrid_w8,264,32,16,0.0625,6,0
hybrid_w8,265,32,16,0.0625,7,0
hybrid_w8,266,32,16,0.0625,4,0
hybrid_w8,267,32,16,0.0625,6,0
hybrid_w8,268,32,16,0.0625,5,0
hybrid_w8,269,32,16,0.0625,6,0
hybrid_w8,270,32,16,0.0625,5,0
hybrid_w8,271,32,16,0.0625,7,0
hybrid_w8,272,32,16,0.0625,5,0
hybrid_w8,273,32,16,0.0625,4,0
hybrid_w8,274,32,16,0.0625,5,0
hybrid_w8,275,32,16,0.0625,7,0
hybrid_w8,276,32,16,0.0625,6,0
hybrid_w8,277,32,16,0.0625,7,0
hybrid_w8,278,32,16,0.0625,7,0
hybrid_w8,279,32,16,0.0625,7,0
hybrid_w8,280,32,16,0.0625,8,0
hybrid_w8,281,32,16,0.0625,8,0
hybrid_w8,282,32,16,0.0625,3,0
hybrid_w8,283,32,16,0.0625,5,0
hybrid_w8,284,32,16,0.0625,6,0
hybrid_w8,285,32,16,0.0625,5,0
hybrid_w8,286,32,16,0.0625,4,0
hybrid_w8,287,32,16,0.0625,4,0
hybrid_w8,288,32,16,0.0625,6,0
hybrid_w8,289,32,16,0.0625,7,0
hybrid_w8,290,32,16,0.0625,4,0
hybrid_w8,291,32,16,0.0625,8,0
hybrid_w8,292,32,16,0.0625,7,0
hybrid_w8,293,32,16,0.0625,7,0
hybrid_w8,294,32,16,0.0625,8,0
hybrid_w8,295,32,16,0.0625,5,0
hybrid_w8,296,32,16,0.0625,8,0
hybrid_w8,297,32,16,0.0625,7,0
hybrid_w8,298,32,16,0.0625,7,0
hybrid_w8,299,32,16,0.0625,5,0
hybrid_w8,300,32,16,0.0625,7,0
hybrid_w8,301,32,16,0.0625,7,0
hybrid_w8,302,32,16,0.0625,6,0
hybrid_w8,303,32,16,0.0625,5,0
hybrid_w8,304,32,16,0.0625,5,0
hybrid_w8,305,32,16,0.0625,6,0
hybrid_w8,306,32,16,0.0625,7,0
hybrid_w8,307,32,16,0.0625,7,0
hybrid_w8,308,32,16,0.0625,6,0
hybrid_w8,309,32,16,0.0625,9,0
hybrid_w8,310,32,16,0.0625,7,0
hybrid_w8,311,32,16,0.0625,5,0
hybrid_w8,312,32,16,0.0625,7,0
hybrid_w8,313,32,16,0.0625,6,0
hybrid_w8,314,32,16,0.0625,5,0
hybrid_w8,315,32,16,0.0625,5,0
hybrid_w8,316,32,16,0.0625,3,0
hybrid_w8,317,32,16,0.0625,4,0
hybrid_w8,318,32,16,0.0625,6,0
hybrid_w8,319,32,16,0.0625,7,0
hybrid_w8,320,32,16,0.0625,2,0
hybrid_w8,321,32,16,0.0625,3,0
hybrid_w8,322,32,16,0.0625,8,0
hybrid_w8,323,32,16,0.0625,7,0
hybrid_w8,324,32,16,0.0625,7,0
hybrid_w8,325,32,16,0.0625,7,0
hybrid_w8,326,32,16,0.0625,5,0
hybrid_w8,327,32,16,0.0625,7,0
hybrid_w8,328,32,16,0.0625,5,0
hybrid_w8,329,32,16,0.0625,5,0
hybrid_w8,330,32,16,0.0625,4,0
hybrid_w8,331,32,16,0.0625,5,0
hybrid_w8,332,32,16,0.0625,4,0
hybrid_w8,333,32,16,0.0625,6,0
hybrid_w8,334,32,16,0.0625,5,0
hybrid_w8,335,32,16,0.0625,8,0
hybrid_w8,336,32,16,0.0625,8,0
hybrid_w8,337,32,16,0.0625,6,0
hybrid_w8,338,32,16,0.0625,4,0
hybrid_w8,339,32,16,0.0625,8,0
hybrid_w8,340,32,16,0.0625,9,0
hybrid_w8,341,32,16,0.0625,7,0
hybrid_w8,342,32,16,0.0625,7,0
hybrid_w8,343,32,16,0.0625,7,0
hybrid_w8,344,32,16,0.0625,6,0
hybrid_w8,345,32,16,0.0625,3,0
hybrid_w8,346,32,16,0.0625,6,0
hybrid_w8,347,32,16,0.0625,5,0
hybrid_w8,348,32,16,0.0625,5,0
hybrid_w8,349,32,16,0.0625,5,0
hybrid_w8,350,32,16,0.0625,6,0
hybrid_w8,351,32,16,0.0625,5,0
hybrid_w8,352,32,16,0.0625,8,0
hybrid_w8,353,32,16,0.0625,9,0
hybrid_w8,354,32,16,0.0625,8,0
hybrid_w8,355,32,16,0.0625,6,0
hybrid_w8,356,32,16,0.0625,6,0
hybrid_w8,357,32,16,0.0625,7,0
hybrid_w8,358,32,16,0.0625,9,0
hybrid_w8,359,32,16,0.0625,6,0
hybrid_w8,360,32,16,0.0625,4,0
hybrid_w8,361,32,16,0.0625,5,0
hybrid_w8,362,32,16,0.0625,6,0
hybrid_w8,363,32,16,0.0625,4,0
hybrid_w8,364,32,16,0.0625,4,0
hybrid_w8,365,32,16,0.0625,5,0
hybrid_w8,366,32,16,0.0625,8,0
hybrid_w8,367,32,16,0.0625,9,0
hybrid_w8,368,32,16,0.0625,3,0
hybrid_w8,369,32,16,0.0625,6,0
hybrid_w8,370,32,16,0.0625,5,0
hybrid_w8,371,32,16,0.0625,8,0
hybrid_w8,372,32,16,0.0625,9,0
hybrid_w8,373,32,16,0.0625,7,0
hybrid_w8,374,32,16,0.0625,8,0
hybrid_w8,375,32,16,0.0625,7,0
hybrid_w8,376,32,16,0.0625,6,0
hybrid_w8,377,32,16,0.0625,6,0
hybrid_w8,378,32,16,0.0625,5,0
hybrid_w8,379,32,16,0.0625,7,0
hybrid_w8,380,32,16,0.0625,6,0
hybrid_w8,381,32,16,0.0625,6,0
hybrid_w8,382,32,16,0.0625,6,0
hybrid_w8,383,32,16,0.0625,8,0
hybrid_w8,384,32,16,0.0625,7,0
hybrid_w8,385,32,16,0.0625,8,0
hybrid_w8,386,32,16,0.0625,7,0
hybrid_w8,387,32,16,0.0625,9,0
hybrid_w8,388,32,16,0.0625,7,0
hybrid_w8,389,32,16,0.0625,5,0
hybrid_w8,390,32,16,0.0625,6,0
hybrid_w8,391,32,16,0.0625,6,0
hybrid_w8,392,32,16,0.0625,5,0
hybrid_w8,393,32,16,0.0625,7,0
hybrid_w8,394,32,16,0.0625,5,0
hybrid_w8,395,32,16,0.0625,5,0
hybrid_w8,396,32,16,0.0625,6,0
hybrid_w8,397,32,16,0.0625,6,0
hybrid_w8,398,32,16,0.0625,5,0
hybrid_w8,399,32,16,0.0625,6,0
hybrid_w8,400,32,16,0.0625,8,0
hybrid_w8,401,32,16,0.0625,8,0
hybrid_w8,402,32,16,0.0625,7,0
hybrid_w8,403,32,16,0.0625,9,0
hybrid_w8,404,32,16,0.0625,7,0
hybrid_w8,405,32,16,0.0625,8,0
hybrid_w8,406,32,16,0.0625,7,0
hybrid_w8,407,32,16,0.0625,3,0
hybrid_w8,408,32,16,0.0625,5,0
hybrid_w8,409,32,16,0.0625,5,0
hybrid_w8,410,32,16,0.0625,3,0
hybrid_w8,411,32,16,0.0625,4,0
hybrid_w8,412,32,16,0.0625,7,0
hybrid_w8,413,32,16,0.0625,7,0
hybrid_w8,414,32,16,0.0625,8,0
hybrid_w8,415,32,16,0.0625,6,0
hybrid_w8,416,32,16,0.0625,7,0
hybrid_w8,417,32,16,0.0625,6,0
hybrid_w8,418,32,16,0.0625,8,0
hybrid_w8,419,32,16,0.0625,9,0
hybrid_w8,420,32,16,0.0625,6,0
hybrid_w8,421,32,16,0.0625,10,0
hybrid_w8,422,32,16,0.0625,6,0
hybrid_w8,423,32,16,0.0625,5,0
hybrid_w8,424,32,16,0.0625,5,0
hybrid_w8,425,32,16,0.0625,6,0
hybrid_w8,426,32,16,0.0625,5,0
hybrid_w8,427,32,16,0.0625,5,0
hybrid_w8,428,32,16,0.0625,4,0
hybrid_w8,429,32,16,0.0625,7,0
hybrid_w8,430,32,16,0.0625,9,0
hybrid_w8,431,32,16,0.0625,6,0
hybrid_w8,432,32,16,0.0625,7,0
hybrid_w8,433,32,16,0.0625,7,0
hybrid_w8,434,32,16,0.0625,9,0
hybrid_w8,435,32,16,0.0625,7,0
hybrid_w8,436,32,16,0.0625,6,0
hybrid_w8,437,32,16,0.0625,6,0
hybrid_w8,438,32,16,0.0625,4,0
hybrid_w8,439,32,16,0.0625,6,0
hybrid_w8,440,32,16,0.0625,5,0
hybrid_w8,441,32,16,0.0625,5,0
hybrid_w8,442,32,16,0.0625,4,0
hybrid_w8,443,32,16,0.0625,5,0
hybrid_w8,444,32,16,0.0625,8,0
hybrid_w8,445,32,16,0.0625,5,0
hybrid_w8,446,32,16,0.0625,5,0
hybrid_w8,447,32,16,0.0625,6,0
hybrid_w8,448,32,16,0.0625,9,0
hybrid_w8,449,32,16,0.0625,8,0
hybrid_w8,450,32,16,0.0625,8,0
hybrid_w8,451,32,16,0.0625,6,0
hybrid_w8,452,32,16,0.0625,8,0
hybrid_w8,453,32,16,0.0625,7,0
hybrid_w8,454,32,16,0.0625,3,0
hybrid_w8,455,32,16,0.0625,4,0
hybrid_w8,456,32,16,0.0625,7,0
hybrid_w8,457,32,16,0.0625,7,0
hybrid_w8,458,32,16,0.0625,5,0
